产权,关注,区域,单价,小区,年限,总价/万元,户型,房屋编码,挂牌时间,朝向,楼层,装修情况,面积
70年,18,西湖三墩,39718元/平米,金地自在城,2012年建/板楼,315,2室1厅,103102663825,2018-07-28,南,低楼层/共26层,平层/精装,79.31平米
70年,0,临安临安,15882 元/平米,中天珺府,未知年建/板楼,600,4室2厅,103103804304,2019-01-21,南,低楼层/共2层,毛坯,377.79平米
70年,95,余杭西溪,35394元/平米,华元美林公馆,2013年建/板楼,315,2室2厅,103101809100,2017-10-13,南,高楼层/共7层,精装,89平米
70年,12,江干四季青,53322元/平米,采荷街道商教苑社区,1985年建/板楼,480,3室2厅,103102773538,2018-08-23,南 北,中楼层/共7层,平层/简装,90.02平米
70年,4,西湖三墩,38536元/平米,金地自在城,2012年建/板楼,340,3室1厅,103104606304,2019-05-02,南,中楼层/共25层,精装,88.23平米
70年,6,江干华家池,65169元/平米,绿地华家池印,2017年建/板楼,580,3室1厅,103104631263,2019-05-05,南,高楼层/共31层,平层/精装,89平米
70年,0,余杭小和山,17022元/平米,科嘉苑,未知年建/板楼,215,3室2厅,103104861057,2019-05-28,南 北,低楼层/共17层,平层/精装,126.31平米
70年,19,钱塘新区沿江北,25574元/平米,多蓝水岸蓝波苑,2007年建/塔楼,360,3室2厅,103104682452,2019-05-10,南,低楼层/共11层,平层/精装,140.77平米
40年,18,萧山萧山开发区,25584元/平米,凯丽晶座,未知年建/塔楼,148,3室1厅,103102519802,2018-06-18,西,高楼层/共22层,跃层/精装,57.85平米
70年,16,余杭闲林,27915元/平米,盛世嘉园,2006年建/板楼,187,1室1厅,103102717555,2018-08-10,北,高楼层/共18层,复式/精装,66.99平米
70年,8,下城建国北路,45653元/平米,东园小区,1993年建/板楼,252,2室1厅,103102459916,2018-05-30,南 北,高楼层/共7层,平层/简装,55.2平米
70年,0,萧山萧山新城区,48555元/平米,顺发恒园,2016年建/板楼,425,3室2厅,103104974517,2019-06-09,南,低楼层/共33层,平层/精装,87.53平米
70年,140,下城建国北路,39428元/平米,锦园小区,1994年建/板楼,215,2室1厅,103102306408,2018-04-12,东 西 北,中楼层/共7层,平层/精装,54.53平米
70年,2,,30685元/平米,爱丁郡,2011年建/板楼,510,4室2厅,103104751806,2019-05-17,南 北,中楼层/共7层,平层/毛坯,166.21平米
70年,61,西湖西溪,47936元/平米,,2011年建/板楼,425,2室1厅,103102563071,2018-07-01,南 北,中楼层/共13层,平层/精装,88.66平米
70年,0,临安临安,17362元/平米,钱锦花园,未知年建/板楼,125,2室2厅,103104351249,2019-04-07,南,高楼层/共22层,平层/毛坯,72平米
70年,13,江干九堡,35009元/平米,中兴九洲芳园,2011年建/板楼,310,2室1厅,103104638277,2019-05-05,南 北,高楼层/共18层,平层/精装,88.55平米
70年,2,江干景芳,46434元/平米,景芳三区,1996年建/板楼,276,3室1厅,103105026708,2019-06-14,东 南 北,中楼层/共7层,简装,59.44平米
70年,9,滨江浦沿,36424元/平米,万科逸天广场,2007年建/板楼,550,3室2厅,103103359990,2018-11-11,南 北,中楼层/共20层,平层/精装,151平米
70年,1,余杭临平,25369元/平米,东海水景城,2010年建/板楼,860,7室3厅,103103623887,2018-12-22,南,低楼层/共17层,毛坯,339平米
70年,8,萧山南部卧城,31144元/平米,开元广场,2015年建/板楼,410,3室2厅,103103196171,2018-10-24,南,中楼层/共19层,平层/毛坯,131.65平米
70年,23,江干三里亭,32283元/平米,三里亭苑四区,1995年建/板楼,260,2室1厅,103102469822,2018-06-02,南,高楼层/共7层,平层/精装,80.54平米
70年,3,钱塘新区沿江南,28443元/平米,保利玫瑰湾,2013年建/板楼,390,4室2厅,103102386404,2018-05-07,南 北,低楼层/共32层,平层/毛坯,137.12平米
40年,8,余杭临平,24219元/平米,富邦星座,2016年建/塔楼,155,4室1厅,103104245715,2019-03-27,南,中楼层/共24层,跃层/精装,64平米
70年,1,拱墅三墩,35972元/平米,阳光郡,2014年建/板楼,500,3室2厅,103104203419,2019-03-22,南 北,低楼层/共28层,平层/毛坯,139平米
70年,4,萧山萧山新城区,40184元/平米,新城香悦奥府,2018年建/板楼,350,3室1厅,103103105687,2018-10-14,南,低楼层/共27层,简装,87.1平米
70年,0,余杭闲林,26599元/平米,竹海水韵,2011年建/板楼,235,3室2厅,103104950055,2019-06-06,南 北,中楼层/共18层,平层/精装,88.35平米
70年,4,江干火车东站,50217元/平米,紫玉福邸,2016年建/板楼,440,2室1厅,103104023346,2019-03-03,南 北,中楼层/共16层,平层/精装,87.62平米
40年,16,钱塘新区高教园区东,16028元/平米,宝龙城市广场,2014年建/板楼,71,1室1厅,103103929794,2019-02-21,东,低楼层/共15层,平层/毛坯,44.3平米
70年,0,临安临安,14815元/平米,南苑小区,未知年建/板楼,120,2室1厅,103104953176,2019-06-06,南,中楼层/共7层,精装,81平米
70年,27,拱墅万达广场,32487元/平米,天鸿香榭里,2012年建/板楼,450,4室1厅,103102794000,2018-08-28,西,中楼层/共24层,平层/毛坯,138.52平米
70年,4,西湖之江,45000元/平米,之江九里,2016年建/板楼,616.5,3室1厅,103102713819,2018-08-09,南,低楼层/共16层,精装,137平米
70年,30,西湖转塘,31396元/平米,中海定山府,2010年建/板楼,270,2室2厅,103102920783,2018-09-15,南,低楼层/共17层,平层/简装,86平米
70年,47,萧山萧山新城区,33976元/平米,金帝金色钱塘,2010年建/板楼,450,4室2厅,103102429418,2018-05-20,南 北,低楼层/共31层,平层/精装,132.45平米
70年,1,余杭临平,18494元/平米,东方俊园,2004年建/板楼,260,3室2厅,103104908272,2019-06-02,南,中楼层/共6层,平层/精装,140.59平米
70年,1,余杭闲林,22561元/平米,新西湖小镇,未知年建/板楼,200,2室2厅,103103068714,2018-10-08,南,低楼层/共27层,平层/精装,88.65平米
70年,13,余杭闲林,24009元/平米,竹海水韵,2015年建/板楼,213,3室1厅,103104277945,2019-03-30,南 北,高楼层/共16层,平层/精装,88.72㎡
70年,52,余杭崇贤,20289元/平米,锦昌年华,2009年建/板楼,280,4室2厅,103102088221,2018-01-20,南 北,高楼层/共14层,平层/精装,138.01平米
70年,0,临安临安,19483元/平米,青山湖玫瑰园,未知年建/板楼,750,5室2厅,103103804067,2019-01-21,南,独栋/共2层,毛坯,384.97平米
70年,1,上城湖滨,71498元/平米,浣纱路,1995年建/板楼,740,3室1厅,103103028984,2018-09-30,南 北,高楼层/共6层,简装,103.5平米
70年,27,余杭闲林,20292元/平米,绿城桃源小镇,未知年建/板塔结合,235,4室2厅,103104230483,2019-03-25,南 北,低楼层/共34层,平层/毛坯,115.81平米
70年,20,余杭万达广场,35602元/平米,万科北宸之光,2015年建/塔楼,405,3室1厅,103104608217,2019-05-02,南,高楼层/共28层,平层/精装,113.76平米
70年,69,萧山萧山新城区,38765元/平米,滨江江南之星,2018年建/板楼,345,3室2厅,103103999231,2019-03-01,南,低楼层/共34层,平层/毛坯,89平米
70年,26,下城长庆,39502元/平米,林司后,1991年建/板楼,168,1室1厅,103103798134,2019-01-19,南,中楼层/共7层,平层/简装,42.53平米
70年,14,萧山钱江世纪城,45260元/平米,万和国际,2014年建/板楼,338,2室2厅,103102622895,2018-07-17,南,低楼层/共32层,平层/毛坯,74.68平米
70年,1,临安临安,19794元/平米,中天珺府,未知年建/暂无数据,760,4室2厅,103105060235,2019-06-17,南,联排/共2层,毛坯,383.96平米
70年,2,拱墅三墩,29892元/平米,都市水乡水滟苑,2008年建/板楼,275,2室2厅,103104120922,2019-03-14,东 南 北,高楼层/共15层,平层/简装,92平米
70年,3,余杭闲林,18645元/平米,爵士风情花园,2008年建/板楼,330,4室2厅,103104694915,2019-05-11,南 北,高楼层/共6层,跃层/精装,177平米
40年,6,上城近江,49315元/平米,日信国际DOUBLE时代,2015年建/板塔结合,320,2室1厅,103102795625,2018-08-28,西,中楼层/共21层,Loft/精装,64.89平米
70年,1,西湖文教,45184元/平米,莫干山路,1996年建/板楼,258,2室1厅,103102816400,2018-08-31,南,高楼层/共5层,平层/简装,57.1平米
70年,0,临安临安,20704元/平米,森林湖山庄南区,未知年建/板塔结合,700,4室3厅,103103804257,2019-01-21,南,独栋/共3层,毛坯,338.1平米
70年,3,滨江浦沿,39345元/平米,观邸国际,2008年建/板塔结合,550,3室2厅,103104607160,2019-05-02,南,中楼层/共33层,平层/精装,139.79平米
70年,2,萧山钱江世纪城,61330元/平米,顺发和美家,2012年建/板楼,550,3室2厅,103104193897,2019-03-21,南,高楼层/共36层,精装,89.68平米
70年,3,萧山萧山开发区,27565元/平米,众安景海湾,2012年建/塔楼,248,3室2厅,103104647616,2019-05-06,南 北,低楼层/共33层,平层/毛坯,89.97平米
70年,1,萧山萧山市区,25000元/平米,高桥小区,1995年建/板楼,285,4室1厅,103104165449,2019-03-18,南,低楼层/共6层,平层/简装,114平米
70年,68,下城流水苑,41727元/平米,星都嘉苑,2004年建/板楼,175,1室0厅,103103217161,2018-10-26,西,中楼层/共20层,平层/精装,41.94平米
70年,24,西湖九莲,75723元/平米,世贸丽晶城,2006年建/板楼,820,2室2厅,103102997449,2018-09-26,南,中楼层/共18层,平层/简装,108.29平米
70年,11,余杭乔司,27089元/平米,复地连城国际,2011年建/板楼,285,3室2厅,103103620996,2018-12-22,南,中楼层/共12层,跃层/精装,105.21平米
70年,13,萧山闻堰,20753元/平米,三江花园(萧山),2007年建/板楼,500,4室2厅,103102048108,2018-01-04,南,中楼层/共18层,跃层/毛坯,240.93平米
70年,9,滨江滨江区政府,53299元/平米,欣盛东方郡西区,2010年建/板楼,475,2室1厅,103102645383,2018-07-23,南,中楼层/共33层,平层/简装,89.12平米
70年,15,江干丁桥,27805元/平米,丁桥家苑,2008年建/板楼,285,3室2厅,103104676536,2019-05-09,南 北,中楼层/共6层,平层/精装,102.5平米
40年,2,钱塘新区沿江南,15528元/平米,世茂江滨商业中心,2011年建/板楼,72,1室1厅,103102925483,2018-09-16,南,中楼层/共28层,平层/精装,46.37平米
70年,0,余杭星桥,24529元/平米,美好桂花星座,2016年建/板楼,260,3室2厅,103104217165,2019-03-24,南 北,高楼层/共23层,平层/精装,106平米
70年,0,余杭小和山,23838元/平米,华盛星洲翠谷,2009年建/板塔结合,205,2室2厅,103104131701,2019-03-15,南,高楼层/共18层,平层/简装,86平米
70年,19,下城三塘,36479元/平米,六塘公寓,1998年建/板楼,230,2室1厅,103104148532,2019-03-17,南,中楼层/共7层,平层/简装,63.05平米
70年,18,下城三塘,39402元/平米,水印康庭,2006年建/板楼,500,3室2厅,103104296173,2019-04-01,南,中楼层/共11层,平层/精装,126.9平米
70年,8,拱墅拱宸桥,40910元/平米,左岸花园,2005年建/板楼,405,3室2厅,103104651952,2019-05-07,南,高楼层/共6层,平层/简装,99平米
70年,26,西湖嘉绿,43754元/平米,莲花港家园,2000年建/板楼,428,3室2厅,103102578477,2018-07-05,南 北,低楼层/共6层,平层/简装,97.82平米
70年,6,钱塘新区高教园区西,28178元/平米,文苑风情,2006年建/板楼,145,1室1厅,103103318851,2018-11-07,西南,低楼层/共24层,简装,51.46平米
70年,28,西湖三墩,43610元/平米,金地自在城,2012年建/板楼,390,3室2厅,103104242620,2019-03-26,南 西 北,中楼层/共26层,平层/精装,89.43平米
70年,1,西湖小和山,24615元/平米,泊林漫谷,2010年建/板楼,332万元,3室2厅,103102730608,2018-08-13,南,低楼层/共12层,精装,134.88平米
70年,48,滨江西兴,39888元/平米,瑞立东方花城,2015年建/板楼,355,3室2厅,103103534716,2018-12-07,南,低楼层/共24层,平层/简装,89平米
70年,17,下城朝晖,36792元/平米,朝晖六区,1986年建/板楼,250,3室1厅,103104682288,2019-05-10,南,高楼层/共6层,平层/简装,67.95平米
70年,20,余杭临平,30624元/平米,余之城,2017年建/板楼,275,3室1厅,103103666936,2018-12-29,南,高楼层/共33层,平层/精装,89.8平米
70年,15,西湖申花,49856元/平米,丽阳苑,2009年建/塔楼,688,3室2厅,103102428879,2018-05-20,南,中楼层/共7层,平层/精装,138平米
70年,5,西湖黄龙,64382元/平米,曙光新村,1989年建/板楼,415,3室1厅,103103595145,2018-12-17,南,高楼层/共6层,平层/毛坯,64.46平米
70年,16,余杭良渚,30354元/平米,良渚文化村白鹭郡南,2010年建/板楼,200,1室2厅,103104121024,2019-03-14,南,高楼层/共5层,平层/简装,65.89平米
70年,52,滨江白马湖,42708元/平米,保亿风景蝶院观园,2010年建/板楼,248,2室1厅,103104152294,2019-03-17,南,高楼层/共15层,平层/精装,58.07平米
70年,17,余杭闲林,23327元/平米,绿城桃源小镇,2008年建/板楼,200,2室2厅,103104507106,2019-04-22,南,高楼层/共10层,平层/精装,85.74平米
70年,47,下城建国北路,48375元/平米,宝善公寓,2008年建/塔楼,625,2室2厅,103102019615,2017-12-23,南,高楼层/共25层,跃层/简装,129.2平米
70年,9,余杭未来科技城,30338元/平米,泊悦府,2013年建/板楼,270,3室2厅,103104470547,2019-04-18,南 北,低楼层/共18层,平层/精装,89平米
70年,5,拱墅桥西,40506元/平米,吉如家园,未知/板楼,375,2室1厅,103104539117,2019-04-25,东南 北,中楼层/共18层,平层/毛坯,92.58平米
70年,1,江干景芳,46477元/平米,中企艮山府,2015年建/板楼,990,6室1厅,103103648321,2018-12-26,南 北,低楼层/共23层,平层/简装,213.01平米
40年,0,余杭未来科技城,22583元/平米,西溪蓝海,2017年建/塔楼,85,1室1厅,103103769181,2019-01-14,北,高楼层/共23层,平层/精装,37.64平米
70年,1,拱墅湖墅,39157元/平米,大塘新村,1988年建/板楼,390,2室2厅,103105072052,2019-06-18,南 北,中楼层/共6层,平层/精装,99.6平米
70年,69,滨江西兴,46944元/平米,中天官河锦庭,2015年建/板楼,420,3室2厅,103103514088,2018-12-04,南,低楼层/共34层,平层/精装,89.47平米
70年,10,滨江浦沿,39294元/平米,江南文苑,2010年建/板楼,345,2室1厅,103104744158,2019-05-16,南,高楼层/共18层,精装,87.8平米
70年,206,滨江浦沿,30278元/平米,超级星期天,2008年建/板楼,218,2室1厅,103102530216,2018-06-21,南 北,中楼层/共14层,平层/精装,72平米
70年,23,西湖黄龙,70176元/平米,黄龙雅苑,2004年建/塔楼,600,2室1厅,103102785956,2018-08-26,南,中楼层/共18层,平层/精装,85.5平米
70年,58,余杭临平,18069元/平米,东湖北路257号,未知年建/暂无数据,145,2室2厅,103102507702,2018-06-14,东 西,中楼层/共4层,平层/简装,80.25平米
70年,107,西湖西溪,53473元/平米,融创河滨之城雨澜轩,2017年建/板楼,475,3室2厅,103102793879,2018-08-28,南,低楼层/共18层,平层/毛坯,88.83平米
70年,4,江干火车东站,42124元/平米,红街公寓,2010年建/板楼,284,2室1厅,103104111420,2019-03-13,南 北,高楼层/共16层,平层/简装,67.42平米
70年,14,余杭未来科技城,38509元/平米,北大资源未名府,未知年建/板楼,438,4室2厅,103104127160,2019-03-14,南,低楼层/共12层,平层/毛坯,113.74平米
70年,0,余杭未来科技城,25880元/平米,湖山帝景湾南苑,2015年建/板楼,273,3室2厅,103104620779,2019-05-04,南 北,低楼层/共23层,平层/精装,105.49平米
70年,15,余杭未来科技城,23501元/平米,西园凤都苑,2005年建/板楼,340,4室2厅,103102288010,2018-04-06,南,低楼层/共6层,平层/简装,144.68平米
70年,20,西湖申花,56513元/平米,广宇西城美墅,2010年建/塔楼,666,3室2厅,103104487306,2019-04-20,南,中楼层/共22层,平层/简装,117.85平米
70年,2,余杭星桥,24370元/平米,嘉和银领时代,2016年建/板楼,850,6室3厅,103104555452,2019-04-27,南,联排/共3层,毛坯,348.79平米
70年,23,江干闸弄口,39926元/平米,濮家新村,1988年建/板楼,215,2室1厅,103102433349,2018-05-21,南,低楼层/共6层,简装,53.85平米
70年,2,临安临安,17747 元/平米,青山鹤岭,未知年建/板楼,126,2室2厅,103104655349,2019-05-07,南,低楼层/共11层,平层/精装,71平米
40年,0,萧山南部卧城,16799元/平米,南润名座,2017年建/塔楼,130,2室1厅,103104705828,2019-05-12,南,中楼层/共20层,平层/简装,77.39平米
70年,9,西湖文三西路,44985元/平米,城市心境,2004年建/板楼,639,4室2厅,103104735217,2019-05-15,东 南,中楼层/共11层,平层/简装,142.05平米
70年,1,钱塘新区沿江北,25829元/平米,野风海天城,2007年建/板楼,318,3室2厅,103103104805,2018-10-14,南,中楼层/共31层,平层/简装,123.12平米
40年,46,钱塘新区沿江南,16177元/平米,世茂江滨商业中心,2011年建/板楼,110,1室1厅,103103580362,2018-12-15,南,高楼层/共28层,平层/精装,68平米
70年,49,余杭乔司,23601元/平米,东冠逸景花苑,2013年建/板楼,145,2室1厅,103104481351,2019-04-19,东南,中楼层/共6层,平层/简装,61.44平米
70年,0,萧山钱江世纪城,41567元/平米,顺发康庄,2012年建/板楼,345,3室2厅,103103826818,2019-01-25,南,高楼层/共29层,平层/简装,83平米
70年,10,拱墅桥西,56711元/平米,嘉泰馨庭,2009年建/板楼,210,2室2厅,103104662443,2019-05-08,北,高楼层/共16层,精装,37.03平米
70年,1,萧山萧山市区,28200元/平米,育才东苑,1995年建/板楼,260,3室2厅,103102547909,2018-06-27,南,高楼层/共6层,简装,92.2平米
